No;Dapil;Alamat;Kelurahan;Usulan;Jenis;Status
778;2;Jl. Tipar Cakung;SEMPER BARAT;Program Cek Kesehatan Gratis;Usulan Kegiatan;Divalidasi
779;2;Jl. Tipar Cakung;SEMPER BARAT;Penambahan Vitamin B untuk Posyandu Lansia;Usulan Kegiatan;Divalidasi
780;2;Jl. Tipar Cakung;SEMPER BARAT;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
781;2;Jl. Tipar Cakung;SEMPER BARAT;Pengadaan Tempat Sampah 3 Warna;Usulan Kegiatan;Divalidasi
782;2;Jl. Tipar Cakung;SEMPER BARAT;APE PAUD;Usulan Kegiatan;Divalidasi
783;2;Jl. Tipar Cakung;SEMPER BARAT;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
784;2;Jl. Tipar Cakung;SEMPER BARAT;Pengadaan Sound System;Usulan Kegiatan;Divalidasi
785;2;Jl. Lestari IX;SUKA PURA;Bibit Tanaman, Pot untuk penghijauan di wilayah;Usulan Kegiatan;Divalidasi
786;2;Jl. Lestari IX;SUKA PURA;Pengadaan Alkes Posyandu Lansia berupa Stick kolesterol, gula darah dan alat tensi;Usulan Kegiatan;Divalidasi
787;2;Jl. Lestari IX;SUKA PURA;Penambahan Vitamin B untuk Posyandu Lansia;Usulan Kegiatan;Divalidasi
788;2;Jl. Lestari IX;SUKA PURA;Pengadaan Tenda untuk kegiatan di wilayah;Usulan Kegiatan;Divalidasi
789;2;Jl. Lestari IX;SUKA PURA;Kuota untuk KJP ditambahkan;Usulan Kegiatan;Divalidasi
790;2;Jl. Lestari IX;SUKA PURA;Pengadaan Bak Sampah;Usulan Kegiatan;Divalidasi
791;2;Jl. Lestari IX;SUKA PURA;Alat olahraga berupa tenis Meja;Usulan Kegiatan;Divalidasi
792;2;Jl. Lestari IX;SUKA PURA;Pengadaan Alat Penunjang Kegiatan Posyandu berupa meja dan kursi;Usulan Kegiatan;Divalidasi
793;2;Jl. Lestari IX;SUKA PURA;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
794;2;Jl. Lestari IX;SUKA PURA;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
795;2;Jl. Rorotan;ROROTAN;seragam untuk kader dasawisma;Usulan Kegiatan;Divalidasi
796;2;Jl. Rorotan;ROROTAN;Pengadaan Hidran Mandiri;Usulan Kegiatan;Divalidasi
797;2;Jl. Rorotan;ROROTAN;Meminimalisir terjadinya tawuran dan kenakalan remaja;Saran;Divalidasi
798;2;Jl. Rorotan;ROROTAN;KJP untuk siswa siswi di pesantren;Usulan Kegiatan;Divalidasi
799;2;Jl. Rorotan;ROROTAN;Buku bacaan untuk perpustakaan;Usulan Kegiatan;Divalidasi
800;2;Jl. Rorotan;ROROTAN;Lapangan Pekerjaan;Usulan Kegiatan;Divalidasi
801;2;Jl. Rorotan;ROROTAN;Pengadaan Tempat Sampah 3 Warna;Usulan Kegiatan;Divalidasi
802;2;Jl. Rorotan;ROROTAN;Pelatihan untuk kader PKK dan Dasawisma;Usulan Kegiatan;Divalidasi
803;2;Jl. Rorotan;ROROTAN;Pengadaan Sembako Murah;Usulan Kegiatan;Divalidasi
804;2;Jl. Rorotan;ROROTAN;Pengadaan Gerobak Sampah;Usulan Kegiatan;Divalidasi
805;2;Jl. Lestari VIII;SUKA PURA;Alat olahraga berupa net, bola voli;Usulan Kegiatan;Divalidasi
806;2;Jl. Lestari VIII;SUKA PURA;Penambahan Vitamin untuk Posyandu Balita;Usulan Kegiatan;Divalidasi
807;2;Jl. Lestari VIII;SUKA PURA;Pengadaan Alat Penunjang Kegiatan Posyandu berupa meja dan kursi;Usulan Kegiatan;Divalidasi
808;2;Jl. Lestari VIII;SUKA PURA;Pengadaan Tempat Sampah 3 Warna;Usulan Kegiatan;Divalidasi
809;2;Jl. Lestari VIII;SUKA PURA;Pengadaan Alkes Posyandu Balita berupa Timbangan dan Alat Ukur Tinggi Badan;Usulan Kegiatan;Divalidasi
810;2;Jl. Lestari VIII;SUKA PURA;Program Cek Kesehatan Gratis;Usulan Kegiatan;Divalidasi
811;2;Jl. Lestari VIII;SUKA PURA;Pengadaan Sound System;Usulan Kegiatan;Divalidasi
812;2;Jl. Lestari VIII;SUKA PURA;Cara pengusulan kembali KJP jika pindah sekolah;Usulan Kegiatan;Divalidasi
813;2;Jl. Lestari VIII;SUKA PURA;Alat Bantu Dengar;Usulan Kegiatan;Divalidasi
814;2;Jl. Lestari VIII;SUKA PURA;Sudah usia 67 tahun namun belum menerima KLJ, sehingga dibutuhkan penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
815;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Pengadaan Hidran Mandiri;Usulan Kegiatan;Divalidasi
816;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Pengadaan Alkes Posyandu Lansia berupa Stick kolesterol, gula darah dan alat tensi;Usulan Kegiatan;Divalidasi
817;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Penambahan Vitamin B untuk Posyandu Lansia;Usulan Kegiatan;Divalidasi
818;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
819;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Buku bacaan untuk perpustakaan;Usulan Kegiatan;Divalidasi
820;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;APE PAUD;Usulan Kegiatan;Divalidasi
821;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;seragam untuk kader dasawisma;Usulan Kegiatan;Divalidasi
822;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Pengadaan Sembako Murah;Usulan Kegiatan;Divalidasi
823;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Bantuan UMKM;Usulan Kegiatan;Divalidasi
824;2;Jl. Rawa Badak Barat;RAWABADAK UTARA;Pengadaan Alat Musik Hadroh;Usulan Kegiatan;Divalidasi
825;2;Jl. Rorotan IX;ROROTAN;Penambahan Vitamin untuk Posyandu Balita;Usulan Kegiatan;Divalidasi
826;2;Jl. Rorotan IX;ROROTAN;Beasiswa untuk masuk kuliah;Usulan Kegiatan;Divalidasi
827;2;Jl. Rorotan IX;ROROTAN;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
828;2;Jl. Rorotan IX;ROROTAN;Bibit Tanaman, Pot untuk penghijauan di wilayah;Usulan Kegiatan;Divalidasi
829;2;Jl. Rorotan IX;ROROTAN;KJP untuk siswa siswi di pesantren;Usulan Kegiatan;Divalidasi
830;2;Jl. Rorotan IX;ROROTAN;Pelatihan untuk kader PKK dan Dasawisma;Usulan Kegiatan;Divalidasi
831;2;Jl. Rorotan IX;ROROTAN;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
832;2;Jl. Rorotan IX;ROROTAN;Pengadaan Tempat Sampah 3 Warna;Usulan Kegiatan;Divalidasi
833;2;Jl. Rorotan IX;ROROTAN;Lapangan Pekerjaan;Usulan Kegiatan;Divalidasi
834;2;Jl. Rorotan IX;ROROTAN;Memfasilitasi dan mendukung kegiatan Karang Taruna;Usulan Kegiatan;Divalidasi
835;2;Jl. Mindi;LAGOA;Pengadaan Hidran Mandiri;Usulan Kegiatan;Divalidasi
836;2;Jl. Mindi;LAGOA;Buku bacaan untuk perpustakaan;Usulan Kegiatan;Divalidasi
837;2;Jl. Mindi;LAGOA;Program Cek Kesehatan Gratis;Usulan Kegiatan;Divalidasi
838;2;Jl. Mindi;LAGOA;Pengadaan Alkes Posyandu Balita berupa Timbangan dan Alat Ukur Tinggi Badan;Usulan Kegiatan;Divalidasi
839;2;Jl. Mindi;LAGOA;Pengadaan Alat Musik Marawis;Usulan Kegiatan;Divalidasi
840;2;Jl. Mindi;LAGOA;Pengadaan Tenda untuk kegiatan di wilayah;Usulan Kegiatan;Divalidasi
841;2;Jl. Mindi;LAGOA;Bantuan UMKM;Usulan Kegiatan;Divalidasi
842;2;Jl. Mindi;LAGOA;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
843;2;Jl. Mindi;LAGOA;Pengadaan Tempat Sampah 3 Warna;Usulan Kegiatan;Divalidasi
844;2;Jl. Mindi;LAGOA;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
845;2;Kp. Sepatan;ROROTAN;Pengadaan Alkes Posyandu Lansia berupa Stick kolesterol, gula darah dan alat tensi;Usulan Kegiatan;Divalidasi
846;2;Kp. Sepatan;ROROTAN;Alat olahraga berupa tenis Meja;Usulan Kegiatan;Divalidasi
847;2;Kp. Sepatan;ROROTAN;Pengadaan Alat Musik Rebana;Usulan Kegiatan;Divalidasi
848;2;Kp. Sepatan;ROROTAN;Kuota untuk KJP ditambahkan;Usulan Kegiatan;Divalidasi
849;2;Kp. Sepatan;ROROTAN;APE PAUD;Usulan Kegiatan;Divalidasi
850;2;Kp. Sepatan;ROROTAN;Pengadaan Alat Penunjang Kegiatan Posyandu berupa meja dan kursi;Usulan Kegiatan;Divalidasi
851;2;Kp. Sepatan;ROROTAN;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
852;2;Kp. Sepatan;ROROTAN;Sulitnya air bersih di wilayah;Usulan Kegiatan;Divalidasi
853;2;Kp. Sepatan;ROROTAN;Pengadaan Tempat Sampah 3 Warna;Usulan Kegiatan;Divalidasi
854;2;Kp. Sepatan;ROROTAN;Perbaikan dan Peninggian Jalan;Usulan Kegiatan;Divalidasi
855;2;Jl. Mindi Blok O;LAGOA;Pengadaan Bak Sampah;Usulan Kegiatan;Divalidasi
856;2;Jl. Mindi Blok O;LAGOA;Pengadaan Sound System;Usulan Kegiatan;Divalidasi
857;2;Jl. Mindi Blok O;LAGOA;Beasiswa untuk masuk kuliah;Usulan Kegiatan;Divalidasi
858;2;Jl. Mindi Blok O;LAGOA;Memfasilitasi dan mendukung kegiatan Karang Taruna;Usulan Kegiatan;Divalidasi
859;2;Jl. Mindi Blok O;LAGOA;Meminimalisir terjadinya tawuran dan kenakalan remaja;Saran;Divalidasi
860;2;Jl. Mindi Blok O;LAGOA;seragam untuk kader dasawisma;Usulan Kegiatan;Divalidasi
861;2;Jl. Mindi Blok O;LAGOA;Bibit Tanaman, Pot untuk penghijauan di wilayah;Usulan Kegiatan;Divalidasi
862;2;Jl. Mindi Blok O;LAGOA;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
863;2;Jl. Mindi Blok O;LAGOA;Pelatihan untuk kader PKK dan Dasawisma;Usulan Kegiatan;Divalidasi
864;2;Jl. Mindi Blok O;LAGOA;Pengadaan Sembako Murah;Usulan Kegiatan;Divalidasi
865;2;Jl. Rorotan IX;ROROTAN;Pengadaan Tenda untuk kegiatan di wilayah;Usulan Kegiatan;Divalidasi
866;2;Jl. Rorotan IX;ROROTAN;Penambahan Vitamin B untuk Posyandu Lansia;Usulan Kegiatan;Divalidasi
867;2;Jl. Rorotan IX;ROROTAN;Penebusan Pangan Murah KJP sering terjadi antri dan banyak warga yang tidak mendapatkan pangan murah tersebut;Usulan Kegiatan;Divalidasi
868;2;Jl. Rorotan IX;ROROTAN;Pengadaan Alkes Posyandu Balita berupa Timbangan dan Alat Ukur Tinggi Badan;Usulan Kegiatan;Divalidasi
869;2;Jl. Rorotan IX;ROROTAN;Bibit Tanaman, Pot untuk penghijauan di wilayah;Usulan Kegiatan;Divalidasi
870;2;Jl. Rorotan IX;ROROTAN;Pengadaan Hidran Mandiri;Usulan Kegiatan;Divalidasi
871;2;Jl. Rorotan IX;ROROTAN;Pengadaan Bak Sampah;Usulan Kegiatan;Divalidasi
872;2;Jl. Rorotan IX;ROROTAN;Kuota untuk KJP ditambahkan;Usulan Kegiatan;Divalidasi
873;2;Jl. Rorotan IX;ROROTAN;Bantuan UMKM;Usulan Kegiatan;Divalidasi
874;2;Jl. Rorotan IX;ROROTAN;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
875;2;Kp. Kali Gendong;ROROTAN;Pengadaan Alat Musik Rebana;Usulan Kegiatan;Divalidasi
876;2;Kp. Kali Gendong;ROROTAN;KJP untuk siswa siswi di pesantren;Usulan Kegiatan;Divalidasi
877;2;Kp. Kali Gendong;ROROTAN;Pengadaan Alkes Posyandu Balita berupa Timbangan dan Alat Ukur Tinggi Badan;Usulan Kegiatan;Divalidasi
878;2;Kp. Kali Gendong;ROROTAN;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
879;2;Kp. Kali Gendong;ROROTAN;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
880;2;Kp. Kali Gendong;ROROTAN;Program Cek Kesehatan Gratis;Usulan Kegiatan;Divalidasi
881;2;Kp. Kali Gendong;ROROTAN;Pengadaan Sound System;Usulan Kegiatan;Divalidasi
882;2;Kp. Kali Gendong;ROROTAN;Jaklingko agar masuk ke wilayah;Usulan Kegiatan;Divalidasi
883;2;Kp. Kali Gendong;ROROTAN;Sulitnya air bersih di wilayah;Usulan Kegiatan;Divalidasi
884;2;Kp. Kali Gendong;ROROTAN;Perbaikan Jalan;Usulan Kegiatan;Divalidasi
885;2;Jl. Rorotan;ROROTAN;Bibit Tanaman, Pot untuk penghijauan di wilayah;Usulan Kegiatan;Divalidasi
886;2;Jl. Rorotan;ROROTAN;Meminimalisir terjadinya tawuran dan kenakalan remaja;Saran;Divalidasi
887;2;Jl. Rorotan;ROROTAN;Lapangan Pekerjaan;Usulan Kegiatan;Divalidasi
888;2;Jl. Rorotan;ROROTAN;Beasiswa untuk masuk kuliah;Usulan Kegiatan;Divalidasi
889;2;Jl. Rorotan;ROROTAN;Pelatihan untuk kader PKK dan Dasawisma;Usulan Kegiatan;Divalidasi
890;2;Jl. Rorotan;ROROTAN;Bantuan UMKM;Usulan Kegiatan;Divalidasi
891;2;Jl. Rorotan;ROROTAN;Penambahan Vitamin untuk Posyandu Balita;Usulan Kegiatan;Divalidasi
892;2;Jl. Rorotan;ROROTAN;Kuota untuk KJP ditambahkan;Usulan Kegiatan;Divalidasi
893;2;Jl. Rorotan;ROROTAN;seragam untuk kader dasawisma;Usulan Kegiatan;Divalidasi
894;2;Jl. Rorotan;ROROTAN;Pengadaan Sembako Murah;Usulan Kegiatan;Divalidasi
895;2;Jl. Rorotan 9;ROROTAN;Pengadaan Gerobak Sampah;Usulan Kegiatan;Divalidasi
896;2;Jl. Rorotan 9;ROROTAN;Penambahan Vitamin B untuk Posyandu Lansia;Usulan Kegiatan;Divalidasi
897;2;Jl. Rorotan 9;ROROTAN;Pengadaan Hidran Mandiri;Usulan Kegiatan;Divalidasi
898;2;Jl. Rorotan 9;ROROTAN;KJP untuk siswa siswi di pesantren;Usulan Kegiatan;Divalidasi
899;2;Jl. Rorotan 9;ROROTAN;Pengadaan Alat Penunjang Kegiatan Posyandu berupa meja dan kursi;Usulan Kegiatan;Divalidasi
900;2;Jl. Rorotan 9;ROROTAN;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
901;2;Jl. Rorotan 9;ROROTAN;Pengadaan Alkes Posyandu Balita berupa Timbangan dan Alat Ukur Tinggi Badan;Usulan Kegiatan;Divalidasi
902;2;Jl. Rorotan 9;ROROTAN;Penambahan Kuota Kartu Lansia Jakarta;Usulan Kegiatan;Divalidasi
903;2;Jl. Rorotan 9;ROROTAN;Program Cek Kesehatan Gratis;Usulan Kegiatan;Divalidasi
904;2;Jl. Rorotan 9;ROROTAN;Pengadaan Alat Musik Rebana;Usulan Kegiatan;Divalidasi
905;2;Kp. Bedeng;ROROTAN;Pengadaan Sound System;Usulan Kegiatan;Divalidasi
906;2;Kp. Bedeng;ROROTAN;Penambahan Vitamin untuk Posyandu Balita;Usulan Kegiatan;Divalidasi
907;2;Kp. Bedeng;ROROTAN;Lapangan Pekerjaan;Usulan Kegiatan;Divalidasi
908;2;Kp. Bedeng;ROROTAN;Penebusan Ijazah;Usulan Kegiatan;Divalidasi
909;2;Kp. Bedeng;ROROTAN;Bantuan UMKM;Usulan Kegiatan;Divalidasi
910;2;Kp. Bedeng;ROROTAN;Uang operasional dinaikkan dan Fasilitas BPJS Ketenagakerjaan;Usulan Kegiatan;Divalidasi
911;2;Kp. Bedeng;ROROTAN;Pembangunan Pos Ronda atau Balai Warga;Usulan Kegiatan;Divalidasi
912;2;Kp. Bedeng;ROROTAN;Pengadaan Alat Musik Hadroh;Usulan Kegiatan;Divalidasi
913;2;Kp. Bedeng;ROROTAN;Alat olahraga berupa tenis Meja;Usulan Kegiatan;Divalidasi
914;2;Kp. Bedeng;ROROTAN;Pengadaan Alkes Posyandu Lansia berupa Stick kolesterol, gula darah dan alat tensi;Usulan Kegiatan;Divalidasi
915;2;Kp. Sungai Kendal;ROROTAN;Saluran air/got di gang RW.08 belum ada. Usulan musrenbang selalu ditolak.;Usulan Kegiatan;Divalidasi
916;2;Jl. Dampra No, 22;RAWABADAK SELATAN;Lampu Penerangan Jalan di RT.05 RW.17 dekat taman Kepil masih gelap;Usulan Kegiatan;Divalidasi
917;2;Jl. Badak Laut;RAWABADAK SELATAN;Fasilitas Olahraga di taman Kepil RT.03 RW.07 dekat balai warga agar ditambahkan.;Usulan Kegiatan;Divalidasi
918;2;Jl. Dampra No, 22;RAWABADAK SELATAN;Berita Acara Serah Terima Aset dari PT. Pelindo kepada Pemda supaya dipercepat. Sekarang masih proses di Walikota?;Usulan Kegiatan;Divalidasi
919;2;Jl. Gudang Laut No. 22;RAWABADAK SELATAN;Bantuan Sound Sytem u kegiatan olahraga dan wilayah;Usulan Kegiatan;Divalidasi
920;2;Komp Uka Blok AC 35;TUGU UTARA;Bantuan Sound Sytem u kegiatan olahraga dan wilayah;Usulan Kegiatan;Divalidasi
921;2;Jl. Lagooa Terusan Gg. D1 No. 19;LAGOA;Bantuan hibah renovasi Mushola Babussalam;Usulan Kegiatan;Divalidasi
922;2;Jl. Dukuh Utara;SEMPER BARAT;Saluran air/got di wilayah RW.15 khususnya di RT.11 agar dilanjutkan sampai masuk ke Gang-2.;Usulan Kegiatan;Divalidasi
923;2;Jl. Dukuh Utara No. 25;SEMPER BARAT;Alat Hadrah untuk Mushola Al-Ukhuwah Jl. Dukuh Utara;Usulan Kegiatan;Divalidasi
924;2;Jl. Dukuh Utara No. 18;SEMPER BARAT;Memperindah lingkungan di RW15 khususnya dibuat tanaman gantung dan dibuat lampu hias;Usulan Kegiatan;Divalidasi
925;2;Jl. Dukuh Utara;SEMPER BARAT;Hapuskan zona Umur dan zonasi lokasi bagi peserta PPDB baru;Saran;Divalidasi
926;2;Jl. Dukuh Utara No. 26;SEMPER BARAT;Kuota Bantuan Anak Disabilitas ditambah;Usulan Kegiatan;Divalidasi
927;2;Jl. Dukuh Utara No. 15;SEMPER BARAT;Tebus Pangan Sembako Murah diadakan kembali di RPTRA;Usulan Kegiatan;Divalidasi
928;2;Jl. Dukuh Utara No. 13;SEMPER BARAT;Sarana WIFI gratis Jak Wifi di setiap RT;Usulan Kegiatan;Divalidasi
929;2;Jl. Dukuh Utara;SEMPER BARAT;Pelatihan untuk UMKM;Usulan Kegiatan;Divalidasi
930;2;Kp. Walang;RAWABADAK SELATAN;Pembuatan Got baru sepanjang 150 m di wilayah RT.10 RW.03 RBS. Sudah diukur dari bulan Januari 2023 belum dilaksanakan.;Usulan Kegiatan;Divalidasi
931;2;Jl. Alur Laut Gg. Waru;RAWABADAK SELATAN;KJP Plus untuk anak Jakarta yang bersekolah di pesantren di luar Jakarta;Saran;Divalidasi
932;2;Jl. Alur Laut Gg. Waru;RAWABADAK SELATAN;Bantuan UMKM untuk usaha kecil yang merata dan tepat sasaran;Usulan Kegiatan;Divalidasi
933;2;Jl. Alur Laut Gg. Waru;RAWABADAK SELATAN;Pengemudi Jak Lingko jutek atau kurang ramah;Tanggapan;Divalidasi
934;2;Gg. Waru;RAWABADAK SELATAN;Kuota ABK di Sekolah Umum ditambah. Sekolah di SLBN juga susah masuknya.;Usulan Kegiatan;Divalidasi
935;2;Jl. Mangga Blok D Gang 1 No. 13;LAGOA;Perbaikan saluran air (drainase) Jl. Mangga/Mahoni Gang 2 Blok D RT.04 RW.10;Usulan Kegiatan;Divalidasi
936;2;Jl. Johar 37;LAGOA;Jalur kontainer di sekitar Jl. Plumpang Raya dan Cilincing tolong diatur jam operasionalnya. Membahayakan dan membuat macet saat jam sekolah dan kerja.;Usulan Kegiatan;Divalidasi
937;2;Jl. Cipeucang II;KOJA;Pembangunan Sekolah negeri Kelurahan Koja;Usulan Kegiatan;Divalidasi
938;2;Jl. Cipeucang II/28;KOJA;Butuh bantuan modal usaha;Usulan Kegiatan;Divalidasi
939;2;Jl. Deli Lorong 26 No.12;KOJA;Perbaikan got/gorong-2 di Jl. Lorong 26;Usulan Kegiatan;Divalidasi
940;2;Jl. Tipar Cakung;SEMPER BARAT;Tanggul/Turab sepanjang kali di wilayah RW.05;Usulan Kegiatan;Divalidasi
941;2;Jl. Tipar Selatan;SEMPER BARAT;Gerobak dan Bak Sampah di wilayah;Usulan Kegiatan;Divalidasi
942;2;Jl. Tipar Cakung;SEMPER BARAT;Bantuan Kesejahteraan Linmas/Hansip dan seragamnya;Usulan Kegiatan;Divalidasi
943;2;Jl. Tipar Selatan;SEMPER BARAT;Alat Rebana untuk Majelis Taklim Mushola Al-Ikhlas;Usulan Kegiatan;Divalidasi
944;2;Jl. Tipar Selatan III No. 374;SEMPER BARAT;Tong Sampah Permanen di wilayah;Usulan Kegiatan;Divalidasi
945;2;Jl. Tipar Selatan III;SEMPER BARAT;Pelatihan untuk UMKM;Usulan Kegiatan;Divalidasi
946;2;Jl. Cibadak Raya;RAWABADAK UTARA;Sound system Wireless untuk pengajian dan kegiatan warga. Senam dll;Usulan Kegiatan;Divalidasi
947;2;Jl. Rawabinangun I/29;RAWABADAK UTARA;Adanya uang operasional untuk Kader Posyandu seperti Dasawisma dan Jumantik;Saran;Divalidasi
948;2;Jl. Lagoa Gg. Mushola;LAGOA;Perbaikan drainase wilayah Gg. Mushola. Drainase diperbesar dan didecker. Panjang 98 meter.;Usulan Kegiatan;Divalidasi
949;2;Jl. Mindi Blok M;LAGOA;Sekolah swasta digratiskan seperti negeri;Saran;Divalidasi
950;2;Jl. Lagoa Terusan;LAGOA;Bantuan Modal untuk UMKM;Usulan Kegiatan;Divalidasi
951;2;Jl. Mengkudu Gg. Tengah;LAGOA;Usulan Unit/Deker lokasi Jl. Mengkudu Gg. Tengah RT.01, 02 RW.07 Kelurahan Lagoa. 8 kali Musrenbang tidak realisasi;Usulan Kegiatan;Divalidasi
952;2;Jl. Mengkudu Gg. Tengah;LAGOA;Antrian bantuan pangan yang tidak teratur. Mengantri dari pagi sebelum subuh, dan belum tentu dapat. Kehabisan.;Saran;Divalidasi
953;2;Jl. Lagoa Terusan;LAGOA;Kesejahteraan Kader Jumantik dan Posyandu dan bantuan Timbangan badan dan alat ujur tinggi badan;Usulan Kegiatan;Divalidasi
954;2;Rusun Koja Blok Bawal Lt 3 No. 12;KOJA;KJP Plus untuk anak Sekolah, orang tua tidak mampu;Usulan Kegiatan;Divalidasi
955;2;Jalan Tarumanegara;SUKA PURA;Kenaikan OP dawis, PKK, RT, RW, LMK;Usulan Kegiatan;Divalidasi
956;2;Jalan Tarumanegara;SUKA PURA;Mengadakan pelatihan pelatihan tentang computer/service AC/bengkel/ kewirausahaan;Usulan Kegiatan;Divalidasi
957;2;Jalan Taruna II;SUKA PURA;Data dana bantuan untuk lansia yang belum diperbaharui;Tanggapan;Divalidasi
958;2;Jalan Tipar Cakung Gg.H.Pancong;SUKA PURA;Meminta cctv karena wilayah warga ini sering terjadi pencurian motor;Usulan Kegiatan;Divalidasi
959;2;Jalan Lontar I;TUGU UTARA;Operasional Dasawisma harap diperhatikan;Usulan Kegiatan;Divalidasi
960;2;Jalan Tipar Cakung;SUKA PURA;Warga meminta agar Usaha mikro dan kecil bisa mendapat bantuan modal dan dijadikan binaan oleh Pemprov DKI;Usulan Kegiatan;Divalidasi
961;2;Jalan Bendungan Batik;TUGU SELATAN;Penerimaan KJP yang kurang tepat sasaran;Tanggapan;Divalidasi
962;2;Jalan Gading Griya Lestari;SUKA PURA;Data bantuan sosial yang belum diperbaharui;Tanggapan;Divalidasi
963;2;Jalan Tipar Cakung Gg.H.Pancong;SUKA PURA;Kabel listrik di jalan yang bergelantungan tidak rapi;Usulan Kegiatan;Divalidasi
964;2;Jalan Tipar Cakung;SUKA PURA;Kader PKK dan dawis yang lebih bebobot;Saran;Divalidasi
965;2;Jalan Veteran;TUGU SELATAN;Warga khususnya anak muda di RW.04 membutuhkan akses untuk bekerja baik di lingkungan industri/perkantoran;Usulan Kegiatan;Divalidasi
966;2;Jalan Taruna;SUKA PURA;Meminta untuk adanya RPTRA/taman bermain anak di RW.02 Kelurahan Sukapura;Usulan Kegiatan;Divalidasi
967;2;Jalan Tipar Cakung Gg. H. Malih;SUKA PURA;Pelatihan-pelatihan untuk anak muda;Usulan Kegiatan;Divalidasi
968;2;Jalan Taruna;SUKA PURA;Program Honor Guru PAUD;Usulan Kegiatan;Divalidasi
969;2;Jalan Malaka II;ROROTAN;Meminta agar dilakukan sosialisasi pelestarian magot dan pengelolaan sampah oleh dinas terkait;Usulan Kegiatan;Divalidasi
970;2;Jalan Tipar Cakung;SUKA PURA;Kenaikan OP dawis, PKK, RT, RW, LMK;Usulan Kegiatan;Divalidasi
971;2;Jalan Tipar Cakung;SUKA PURA;Pangan Murah, waktu pengambilan pangan murah di pasar sukapura tidak efektif atau lama sekali;Tanggapan;Divalidasi
972;2;Jl. Pelepah Asri II;KELAPA GADING BARAT;Utamakanlah sarana dan Fasilitas Pendidikan karena itu yang utama;Usulan Kegiatan;Divalidasi
973;2;Jl. Kebantenan;SEMPER TIMUR;Tolong perhatikan agar ada tempat bermain anak anak (RPTRA) di wilayah;Usulan Kegiatan;Divalidasi
974;2;Komp. Dewa Kembar Blok B No. 9;SEMPER TIMUR;Permasalahan masih banyak kekurangan yang harus diperbaiki terutama akses Kesehatan;Usulan Kegiatan;Divalidasi
975;2;Jl. Kebantenan IV,;SEMPER TIMUR;Saya sebagai guru PAUD yang sudah mengajar hamper 14 tahun, agar ada perhatian pemerintah terkait Honor;Usulan Kegiatan;Divalidasi
976;2;Jl. Kebantenan III, Gg. Merak;SEMPER TIMUR;Menanyakan masalah PKH untuk anak saya kenapa nilainya berkurang;Usulan Kegiatan;Divalidasi
977;2;Jl. Kebantenan IV No. 18;SEMPER TIMUR;Karena usia lanjut dan sudah susah jalan, mohon bantuan tongkat untuk jalan;Usulan Kegiatan;Divalidasi
978;2;Jl. Kebantenan IV/16;SEMPER TIMUR;Untuk Lansia apakah bisa mendapatkan BLT;Usulan Kegiatan;Divalidasi
979;2;Jl. Kebantenan VII;SEMPER TIMUR;Mohon dapat ditata agar penerima PKH/BLT penerima itu harus tepat sasaran;Usulan Kegiatan;Divalidasi
980;2;Jl. Kebantenan Dewa Kembar;SEMPER TIMUR;Tolong diperhatikan para Lansia dan disabilitas di komplek Dewa Kembar, karena kami numpang Alamat di Dewa Kembar;Usulan Kegiatan;Divalidasi
981;2;Jl. Kalibaru Timur IV E;KALI BARU;Banyak anak anak sekolah yang sulit mencari kerja, karena ijazah mereka tertahan di sekolah karena tunggakan;Usulan Kegiatan;Divalidasi
